	seqfeature_source	dbxref	bioentry_path	biosequence	location	location_qualifier_value	term_synonym	term_relationship_term	seqfeature_path	dbxref_qualifier_value	bioentry_qualifier_value	ontology_path	taxa	bioentry_taxa	seqfeature_dbxref	bioentry_description	bioentry_relationship	bioentry_keywords	seqfeature_key	seqfeature_qualifier	ontology_dbxref	bioentry_dblink	taxon	seqfeature_location	seqfeature_relationship	taxon_name	remote_seqfeature_name	term_path	seqfeature	seqfeature_qualifier_value	ontology_term	ontology	term_dbxref	bioentry_direct_links	biodatabase	reference	term	cache_corba_support	ontology_relationship	term_relationship	bioentry_reference	bioentry_dbxref	comment	bioentry	bioentry_date	
seqfeature_source	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dbxref	0	-	0	6	0	4	0	0	0	4	4	2	0	0	0	2	2	2	2	2	2	0	2	3	2	2	1	0	2	4	4	2	0	2	0	5	0	0	2	0	2	0	2	6	2
bioentry_path	0	0	-	3	2	2	0	0	8	4	2	1	0	0	1	0	5	0	0	0	3	1	1	2	5	1	0	3	1	2	2	0	2	0	1	0	2	2	3	1	0	3	0	1	0
biosequence	0	6	3	-	0	6	0	0	3	9	7	2	2	2	1	2	3	2	2	2	3	4	7	7	4	4	5	0	6	6	6	2	0	4	2	7	0	0	5	0	4	4	4	11	2
location	0	0	2	0	-	2	0	0	2	2	2	1	0	0	1	0	2	0	0	0	3	0	0	2	2	0	0	1	0	2	2	0	2	0	0	0	2	0	1	1	0	0	0	0	0
location_qualifier_value	0	4	2	6	2	-	0	0	2	8	8	3	2	2	1	2	4	2	2	2	5	2	4	6	6	2	2	1	4	8	8	2	2	4	0	7	2	0	3	1	4	0	4	5	2
term_synonym	0	0	0	0	0	0	-	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0
term_relationship_term	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seqfeature_path	0	0	8	3	2	2	0	0	-	4	2	1	0	0	1	0	5	0	0	0	3	1	1	2	5	1	0	3	1	2	2	0	2	0	1	0	2	2	3	1	0	3	0	1	0
dbxref_qualifier_value	0	4	4	9	2	8	1	0	4	-	8	3	2	2	1	2	4	2	2	2	5	3	5	6	6	3	2	1	5	8	8	2	2	4	1	7	3	0	5	1	4	3	4	6	2
bioentry_qualifier_value	0	4	2	7	2	8	0	0	2	8	-	3	2	2	1	2	6	2	2	2	5	2	4	7	6	2	3	1	5	8	8	2	2	4	0	8	2	0	3	1	4	0	4	6	2
ontology_path	0	2	1	2	1	3	1	0	1	3	3	-	0	0	0	0	3	0	0	0	3	0	2	3	3	2	0	2	2	3	3	2	1	0	0	3	2	0	4	2	2	0	2	2	0
taxa	0	0	0	2	0	2	0	0	0	2	2	0	-	2	0	0	0	0	0	0	0	2	2	2	2	0	2	0	2	2	4	0	0	2	2	2	0	0	0	0	2	0	2	4	0
bioentry_taxa	0	0	0	2	0	2	0	0	0	2	2	0	2	-	0	0	0	0	0	0	0	2	2	2	2	0	2	0	2	2	2	0	0	2	0	2	0	0	0	0	2	0	2	3	0
seqfeature_dbxref	0	0	1	1	1	1	0	0	1	1	1	0	0	0	-	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
bioentry_description	0	2	0	2	0	2	0	0	0	2	2	0	0	0	0	-	0	2	2	2	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	0	0	0	0	0	0	0	0	2
bioentry_relationship	0	2	5	3	2	4	0	0	5	4	6	3	0	0	1	0	-	0	0	0	5	0	2	5	6	2	1	2	3	4	4	2	2	0	0	4	2	1	3	1	2	0	2	3	0
bioentry_keywords	0	2	0	2	0	2	0	0	0	2	2	0	0	0	0	2	0	-	2	2	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	0	0	0	0	0	0	0	0	2
seqfeature_key	0	2	0	2	0	2	0	0	0	2	2	0	0	0	0	2	0	2	-	2	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	0	0	0	0	0	0	0	0	2
seqfeature_qualifier	0	2	0	2	0	2	0	0	0	2	2	0	0	0	0	2	0	2	2	-	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	0	0	0	0	0	0	0	0	2
ontology_dbxref	0	2	3	3	3	5	0	0	3	5	5	3	0	0	2	0	5	0	0	0	-	0	2	5	5	2	0	1	2	5	5	2	3	0	0	3	3	0	3	1	2	0	2	2	0
bioentry_dblink	1	0	1	4	0	2	0	0	1	3	2	0	2	2	0	0	0	0	0	0	0	-	5	2	2	2	2	0	6	2	3	0	0	2	2	2	0	0	1	0	2	2	2	5	0
taxon	1	2	1	7	0	4	0	0	1	5	4	2	2	2	0	0	2	0	0	0	2	5	-	4	4	5	2	0	8	4	5	2	0	2	3	5	0	0	3	0	4	3	4	8	0
seqfeature_location	0	3	2	7	2	6	0	0	2	6	7	3	2	2	1	0	5	0	0	0	5	2	4	-	6	2	4	1	4	6	6	2	2	2	0	5	2	0	3	1	4	0	4	8	0
seqfeature_relationship	0	2	5	4	2	6	0	0	5	6	6	3	2	2	1	0	6	0	0	0	5	2	4	6	-	2	2	2	4	6	6	2	2	2	0	5	2	1	3	1	4	0	4	5	0
taxon_name	0	2	1	4	0	2	0	0	1	3	2	2	0	0	0	0	2	0	0	0	2	2	5	2	2	-	0	0	4	2	2	2	0	0	2	3	0	0	3	0	2	2	2	4	0
remote_seqfeature_name	0	1	0	5	0	2	0	0	0	2	3	0	2	2	0	0	1	0	0	0	0	2	2	4	2	0	-	0	2	2	2	0	0	2	0	2	0	0	0	0	2	0	2	6	0
term_path	0	0	3	0	1	1	1	0	3	1	1	2	0	0	0	0	2	0	0	0	1	0	0	1	2	0	0	-	0	1	1	0	1	0	0	0	2	2	2	2	0	0	0	0	0
seqfeature	3	2	1	6	0	4	0	0	1	5	5	2	2	2	0	0	3	0	0	0	2	6	8	4	4	4	2	0	-	4	7	2	0	2	2	7	0	0	3	0	4	2	4	7	0
seqfeature_qualifier_value	0	4	2	6	2	8	0	0	2	8	8	3	2	2	1	2	4	2	2	2	5	2	4	6	6	2	2	1	4	-	8	2	2	4	0	7	2	0	3	1	4	0	4	5	2
ontology_term	2	4	2	6	2	8	0	0	2	8	8	3	4	2	1	2	4	2	2	2	5	3	5	6	6	2	2	1	7	8	-	2	2	4	2	7	2	0	3	1	4	0	4	6	2
ontology	0	2	0	2	0	2	0	0	0	2	2	2	0	0	0	0	2	0	0	0	2	0	2	2	2	2	0	0	2	2	2	-	0	0	0	3	0	0	2	0	2	0	2	2	0
term_dbxref	0	0	2	0	2	2	0	0	2	2	2	1	0	0	1	0	2	0	0	0	3	0	0	2	2	0	0	1	0	2	2	0	-	0	0	0	2	0	1	1	0	0	0	0	0
bioentry_direct_links	0	2	0	4	0	4	0	0	0	4	4	0	2	2	0	2	0	2	2	2	0	2	2	2	2	0	2	0	2	4	4	0	0	-	0	4	0	0	0	0	2	0	2	3	2
biodatabase	0	0	1	2	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	2	0	0	2	0	2	0	0	0	-	0	0	0	1	0	0	2	0	3	0
reference	0	5	0	7	0	7	0	0	0	7	8	3	2	2	0	2	4	2	2	2	3	2	5	5	5	3	2	0	7	7	7	3	0	4	0	-	0	0	3	0	5	0	5	6	2
term	0	0	2	0	2	2	2	0	2	3	2	2	0	0	1	0	2	0	0	0	3	0	0	2	2	0	0	2	0	2	2	0	2	0	0	0	-	0	2	2	0	0	0	0	0
cache_corba_support	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0
ontology_relationship	0	2	3	5	1	3	1	0	3	5	3	4	0	0	0	0	3	0	0	0	3	1	3	3	3	3	0	2	3	3	3	2	1	0	1	3	2	0	-	2	2	3	2	3	0
term_relationship	0	0	1	0	1	1	1	0	1	1	1	2	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	2	0	1	1	0	1	0	0	0	2	0	2	-	0	0	0	0	0
bioentry_reference	0	2	0	4	0	4	0	0	0	4	4	2	2	2	0	0	2	0	0	0	2	2	4	4	4	2	2	0	4	4	4	2	0	2	0	5	0	0	2	0	-	0	4	5	0
bioentry_dbxref	0	0	3	4	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	3	0	0	-	0	2	0
comment	0	2	0	4	0	4	0	0	0	4	4	2	2	2	0	0	2	0	0	0	2	2	4	4	4	2	2	0	4	4	4	2	0	2	0	5	0	0	2	0	4	0	-	5	0
bioentry	0	6	1	11	0	5	0	0	1	6	6	2	4	3	0	0	3	0	0	0	2	5	8	8	5	4	6	0	7	5	6	2	0	3	3	6	0	0	3	0	5	2	5	-	0
bioentry_date	0	2	0	2	0	2	0	0	0	2	2	0	0	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	2	0	0	0	0	0	0	0	0	-
