filesHandler/input/ensembl.csv
WC: 0.5	WT: 0.5
PreProcessingChanges:OFF	PreProcessingTime:OFF
Start	End	TotUpd	mi	ei	abs	pow	sum
0	90	477	5.24	8	2.76	2.76
				13	7.76	7.76
				4	1.24	1.24
				8	2.76	2.76
				8	2.76	2.76
				12	6.76	6.76
				1	4.24	4.24
				9	3.76	3.76
				8	2.76	2.76
				1	4.24	4.24
				1	4.24	4.24
				0	5.24	5.24
				2	3.24	3.24
				7	1.76	1.76
				1	4.24	4.24
				1	4.24	4.24
				1	4.24	4.24
				8	2.76	2.76
				3	2.24	2.24
				10	4.76	4.76
				20	14.76	14.76
				3	2.24	2.24
				12	6.76	6.76
				3	2.24	2.24
				1	4.24	4.24
				1	4.24	4.24
				2	3.24	3.24
				18	12.76	12.76
				7	1.76	1.76
				1	4.24	4.24
				6	0.76	0.76
				9	3.76	3.76
				13	7.76	7.76
				1	4.24	4.24
				11	5.76	5.76
				1	4.24	4.24
				1	4.24	4.24
				2	3.24	3.24
				12	6.76	6.76
				2	3.24	3.24
				0	5.24	5.24
				3	2.24	2.24
				5	0.24	0.24
				0	5.24	5.24
				0	5.24	5.24
				1	4.24	4.24
				0	5.24	5.24
				0	5.24	5.24
				3	2.24	2.24
				11	5.76	5.76
				2	3.24	3.24
				1	4.24	4.24
				13	7.76	7.76
				8	2.76	2.76
				2	3.24	3.24
				51	45.76	45.76
				4	1.24	1.24
				0	5.24	5.24
				2	3.24	3.24
				9	3.76	3.76
				10	4.76	4.76
				6	0.76	0.76
				10	4.76	4.76
				1	4.24	4.24
				9	3.76	3.76
				4	1.24	1.24
				1	4.24	4.24
				0	5.24	5.24
				2	3.24	3.24
				3	2.24	2.24
				3	2.24	2.24
				15	9.76	9.76
				5	0.24	0.24
				4	1.24	1.24
				7	1.76	1.76
				5	0.24	0.24
				8	2.76	2.76
				0	5.24	5.24
				4	1.24	1.24
				4	1.24	1.24
				14	8.76	8.76
				1	4.24	4.24
				1	4.24	4.24
				3	2.24	2.24
				5	0.24	0.24
				0	5.24	5.24
				1	4.24	4.24
				0	5.24	5.24
				0	5.24	5.24
				0	5.24	5.24
				4	1.24	1.24	404.53
				
91	91	6	6.00	6	0.00	0.00	0.00
				
92	132	558	13.61	78	64.39	64.39
				21	7.39	7.39
				1	12.61	12.61
				10	3.61	3.61
				1	12.61	12.61
				8	5.61	5.61
				1	12.61	12.61
				1	12.61	12.61
				0	13.61	13.61
				7	6.61	6.61
				0	13.61	13.61
				0	13.61	13.61
				0	13.61	13.61
				0	13.61	13.61
				0	13.61	13.61
				2	11.61	11.61
				60	46.39	46.39
				1	12.61	12.61
				1	12.61	12.61
				0	13.61	13.61
				0	13.61	13.61
				0	13.61	13.61
				2	11.61	11.61
				1	12.61	12.61
				13	0.61	0.61
				0	13.61	13.61
				12	1.61	1.61
				0	13.61	13.61
				4	9.61	9.61
				0	13.61	13.61
				12	1.61	1.61
				0	13.61	13.61
				0	13.61	13.61
				9	4.61	4.61
				6	7.61	7.61
				1	12.61	12.61
				2	11.61	11.61
				0	13.61	13.61
				1	12.61	12.61
				24	10.39	10.39
				279	265.39	265.39	787.90
				
133	204	226	3.14	0	3.14	3.14
				1	2.14	2.14
				1	2.14	2.14
				0	3.14	3.14
				1	2.14	2.14
				1	2.14	2.14
				1	2.14	2.14
				1	2.14	2.14
				0	3.14	3.14
				11	7.86	7.86
				0	3.14	3.14
				0	3.14	3.14
				33	29.86	29.86
				1	2.14	2.14
				1	2.14	2.14
				0	3.14	3.14
				2	1.14	1.14
				2	1.14	1.14
				23	19.86	19.86
				3	0.14	0.14
				0	3.14	3.14
				2	1.14	1.14
				2	1.14	1.14
				14	10.86	10.86
				9	5.86	5.86
				0	3.14	3.14
				1	2.14	2.14
				1	2.14	2.14
				2	1.14	1.14
				2	1.14	1.14
				0	3.14	3.14
				2	1.14	1.14
				1	2.14	2.14
				2	1.14	1.14
				5	1.86	1.86
				0	3.14	3.14
				1	2.14	2.14
				1	2.14	2.14
				1	2.14	2.14
				1	2.14	2.14
				1	2.14	2.14
				0	3.14	3.14
				1	2.14	2.14
				27	23.86	23.86
				1	2.14	2.14
				0	3.14	3.14
				1	2.14	2.14
				1	2.14	2.14
				3	0.14	0.14
				1	2.14	2.14
				0	3.14	3.14
				1	2.14	2.14
				1	2.14	2.14
				1	2.14	2.14
				1	2.14	2.14
				13	9.86	9.86
				1	2.14	2.14
				7	3.86	3.86
				0	3.14	3.14
				1	2.14	2.14
				0	3.14	3.14
				8	4.86	4.86
				14	10.86	10.86
				1	2.14	2.14
				0	3.14	3.14
				2	1.14	1.14
				1	2.14	2.14
				4	0.86	0.86
				1	2.14	2.14
				1	2.14	2.14
				2	1.14	1.14
				1	2.14	2.14	260.67
				
205	242	598	15.74	108	92.26	92.26
				14	1.74	1.74
				17	1.26	1.26
				8	7.74	7.74
				55	39.26	39.26
				1	14.74	14.74
				6	9.74	9.74
				0	15.74	15.74
				6	9.74	9.74
				2	13.74	13.74
				0	15.74	15.74
				1	14.74	14.74
				14	1.74	1.74
				2	13.74	13.74
				0	15.74	15.74
				0	15.74	15.74
				0	15.74	15.74
				2	13.74	13.74
				0	15.74	15.74
				8	7.74	7.74
				44	28.26	28.26
				21	5.26	5.26
				16	0.26	0.26
				3	12.74	12.74
